Species,Species name in GBIF,Species and authority,Category,Use,Group,Location,No. of occurrences in GBIF,Authors,Title,Journal,Volume,Pages,Ist quartile,Median,3rd quartile,Notes
Corchorus olitorius,Corchorus olitorius,Corchorus olitorius L.,Health care,treating fever,Medicine: Fever,"Volta, Eastern, Ashanti, Western, Greater Accra and Central regions",34,"Nyadanu, D., Amoah, R. A., Obeng, B., Kwarteng, A. O., Akromah, R., Aboagye, L. M., & Adu-Dapaah, H. (2017)","Domestication of jute mallow (Corchorus olitorius L.): ethnobotany, production constraints and phenomics of local cultivars in Ghana",Genetic Resources and Crop Evolution ,64(6) ,1313-1329,1994,1995,1995,
Corchorus olitorius,Corchorus olitorius,Corchorus olitorius L.,Health care,treating waist pains ,Medicine: Somatic pains,"Volta, Eastern, Ashanti, Western, Greater Accra and Central regions",34,"Nyadanu, D., Amoah, R. A., Obeng, B., Kwarteng, A. O., Akromah, R., Aboagye, L. M., & Adu-Dapaah, H. (2017)","Domestication of jute mallow (Corchorus olitorius L.): ethnobotany, production constraints and phenomics of local cultivars in Ghana",Genetic Resources and Crop Evolution ,64(6) ,1313-1329,1994,1995,1995,
Corchorus olitorius,Corchorus olitorius,Corchorus olitorius L.,Health care,treating stomach aches,Medicine: Somatic pains,"Volta, Eastern, Ashanti, Western, Greater Accra and Central regions",34,"Nyadanu, D., Amoah, R. A., Obeng, B., Kwarteng, A. O., Akromah, R., Aboagye, L. M., & Adu-Dapaah, H. (2017)","Domestication of jute mallow (Corchorus olitorius L.): ethnobotany, production constraints and phenomics of local cultivars in Ghana",Genetic Resources and Crop Evolution ,64(6) ,1313-1329,1994,1995,1995,
Corchorus olitorius,Corchorus olitorius,Corchorus olitorius L.,Food and nutrition,leaves are taken as vegetables,Food,"Volta, Eastern, Ashanti, Western, Greater Accra and Central regions",34,"Nyadanu, D., Amoah, R. A., Obeng, B., Kwarteng, A. O., Akromah, R., Aboagye, L. M., & Adu-Dapaah, H. (2017)","Domestication of jute mallow (Corchorus olitorius L.): ethnobotany, production constraints and phenomics of local cultivars in Ghana",Genetic Resources and Crop Evolution ,64(6) ,1313-1329,1994,1995,1995,
Corchorus olitorius,Corchorus olitorius,Corchorus olitorius L . ,Health care,treating wounds,Medicine: Wound healing,Volta Region,34,"Barku, V. Y., Opoku-Boahen, Y., & Dali, G. A. (2015)","Ethnobotanical study of wound healing plants in Kpando Traditional Area, Ghana",International Journal of Phytomedicine ,6(4) ,564-572,1994,1995,1995,
Cordia millenii,Cordia millenii,Cordia milleniiBaker,Health care,treating lung cancer,Medicine: Cancer,Ashanti Region,16,"Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana",Journal of ethnopharmacology ,212,137-152,1932,1961,1979,
Cordia myxa,Cordia dichotoma,Cordia myxa L.,Health care,"treating stomach, brain and breast cancer",Medicine: Cancer,Ashanti Region,28,"Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana",Journal of ethnopharmacology ,212,137-152,NA,NA,NA,
Cordia vignei,Cordia vignei,Cordia vigneiHutch. & Dalziel,Health care,treating prostate cancer,Medicine: Cancer,Ashanti Region,17,"Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana",Journal of ethnopharmacology ,212,137-152,1972,1972,1972,
Corynanthe pachyceras,Corynanthe pachyceras,Corynanthe pachyceras K.Schum,Health care,treating stomach cancer,Medicine: Cancer,Ashanti Region,64,"Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana",Journal of ethnopharmacology ,212,137-152,1971,1994,1995,
Crateva religiosa,Crateva religiosa,Crateva religiosa G. Forst ,Health care,treating leprosy,Medicine: Infectious diseases,Eastern Region,12,"Pesewu, G. A., Cutler, R. R., & Humber, D. P. (2008)",Antibacterial activity of plants used in traditional medicines of Ghana with particular reference to MRSA.,Journal of ethnopharmacology,116(1) ,102-111,1946,1947,1958,
Crateva religiosa,Crateva religiosa,Crateva religiosa G. Forst ,Health care,treating swollen parts of the body,Medicine: Edema,Eastern Region,12,"Pesewu, G. A., Cutler, R. R., & Humber, D. P. (2008)",Antibacterial activity of plants used in traditional medicines of Ghana with particular reference to MRSA.,Journal of ethnopharmacology,116(1) ,102-111,1946,1947,1958,
Crescentia cujete,Crescentia cujete,Crescentia cujete L.,Health care,treating wounds,Medicine: Wound healing,Volta Region,4,"Barku, V. Y., Opoku-Boahen, Y., & Dali, G. A. (2015)","Ethnobotanical study of wound healing plants in Kpando Traditional Area, Ghana",International Journal of Phytomedicine ,6(4) ,564-572,1956,1956,1956,
Crossopteryx febrifuga,Crossopteryx febrifuga,,Agriculture,used as protectants of stored grains,Post-harvest protectant,Ashanti Region,105,"Cobbinah, J. R., Moss, C., Golob, P., & Belmain, S. R. (1999)",Conducting ethnobotanical surveys: an example from Ghana on plants used for the protection of stored cereals and pulses ,(NRI Bulletin 77),,,NA,NA,NA,Crossopterix febrifuga was found in this paper but Crossopteryx febrifuga appeared in GBIF search 
Crossopteryx febrifuga,Crossopteryx febrifuga,Crossopteryx febrifuga (Afzel. ex. G. Don.) Benth.,Health care,treating malaria,Medicine: Malaria,Upper West Region,105,"Asase, A., & Oteng-Yeboah, A. A. (2012)",Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana,Ethnobotany Research and Applications,10,605-618,1954,1959,1995,
Crossopteryx febrifuga,Crossopteryx febrifuga,Crossopteryx febrifuga (Afzel. ex. G. Don.) Benth.,Energy,used as fuel wood for cooking,Fuel,Upper West Region,105,"Asase, A., & Oteng-Yeboah, A. A. (2012)",Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana,Ethnobotany Research and Applications,10,605-618,1954,1959,1995,
Crossopteryx febrifuga,Crossopteryx febrifuga,Crossopteryx febrifuga (Afzel. ex. G. Don.) Benth.,Social,used for carving artefacts,Artefacts,Upper West Region,105,"Asase, A., & Oteng-Yeboah, A. A. (2012)",Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana,Ethnobotany Research and Applications,10,605-618,1954,1959,1995,
Crossopteryx febrifuga,Crossopteryx febrifuga,Crossopteryx febrifuga (Afzel.ex G.Don)Benth.,Health care,treating prostate cancer,Medicine: Cancer,Ashanti Region,105,"Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana",Journal of ethnopharmacology ,212,137-152,1954,1959,1995,
Crotalaria macrocalyx,Crotalaria macrocalyx,Crotalaria macrocalyx Benth.,Health care,treating pneumonia,Medicine: Infectious diseases,Upper West Region,63,"Wodah, D., & Asase, A. (2012)",Ethnopharmacological use of plants by Sisala traditional healers in northwest Ghana,Pharmaceutical biology ,50(7) ,807-815,1953,1958,1974,
Croton hirtus,None,Croton hirtus L'Hér.,Health care,"treating prostate, skin, breast and throat cancer",Medicine: Cancer,Ashanti Region,0,"Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana",Journal of ethnopharmacology ,212,137-152,NA,NA,NA,
Cryptolepis sanguinolenta,Cryptolepis sanguinolenta,Cryptolepis sanguinolenta (Lindl.) Schltr,Health care,treating malaria,Medicine: Malaria,Eastern Region,8,"Pesewu, G. A., Cutler, R. R., & Humber, D. P. (2008)",Antibacterial activity of plants used in traditional medicines of Ghana with particular reference to MRSA.,Journal of ethnopharmacology,116(1) ,102-111,NA,NA,NA,
Cryptolepis sanguinolenta,Cryptolepis sanguinolenta,,Health care,treating wounds and infections,Medicine: Wound healing,Eastern Region,8,"Pesewu, G. A., Cutler, R. R., & Humber, D. P. (2008)",Antibacterial activity of plants used in traditional medicines of Ghana with particular reference to MRSA.,Journal of ethnopharmacology,116(1),102-114,NA,NA,NA,
Cryptolepis sanguinolenta,Cryptolepis sanguinolenta,Cryptolepis sanguinolenta (Lindl.) Schltr.,Health care,treating malaria,Medicine: Malaria,Ashanti Region,8,"Komlaga, G., Agyare, C., Dickson, R. A., Mensah, M. L. K., Annan, K., Loiseau, P. M., & Champy, P. (2015)","Medicinal plants and finished marketed herbal products used in the treatment of malaria in the Ashanti region, Ghana",Journal of ethnopharmacology ,172,333-346,NA,NA,NA,
Cucurbita maxima,None,Cucurbita maxima Duchesne ,Health care,treating lungs and head cancer,Medicine: Cancer,Ashanti Region,0,"Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana",Journal of ethnopharmacology ,212,137-152,NA,NA,NA,
Cussonia bancoensis,Cussonia bancoensis,Cussonia bancoensisAubrév. & Pellegr.,Health care,treating brain cancer,Medicine: Cancer,Ashanti Region,45,"Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana",Journal of ethnopharmacology ,212,137-152,1948,1972,1976,
Cussonia barteri,Cussonia arborea,Cussonia barteri Seem.,Health care,treating piles,Medicine: Gastrointestinal disorders,Upper West Region,16,"Wodah, D., & Asase, A. (2012)",Ethnopharmacological use of plants by Sisala traditional healers in northwest Ghana,Pharmaceutical biology ,50(7) ,807-815,NA,NA,NA,
Cyathula prostrata,Cyathula prostrata,Cyathula prostrata (L.) Blume,Health care,treating malaria,Medicine: Malaria,Ashanti Region,81,"Komlaga, G., Agyare, C., Dickson, R. A., Mensah, M. L. K., Annan, K., Loiseau, P. M., & Champy, P. (2015)","Medicinal plants and finished marketed herbal products used in the treatment of malaria in the Ashanti region, Ghana",Journal of ethnopharmacology ,172,333-346,1952,1957,1966,
Cyclosorus afer,Cyclosorus afer,Cyclosorus afer Ching,Health care,treating malaria,Medicine: Malaria,Ashanti Region,43,"Komlaga, G., Agyare, C., Dickson, R. A., Mensah, M. L. K., Annan, K., Loiseau, P. M., & Champy, P. (2015)","Medicinal plants and finished marketed herbal products used in the treatment of malaria in the Ashanti region, Ghana",Journal of ethnopharmacology ,172,333-346,1950,1950,1955,
Cymbopogon citratus,Cymbopogon citratus,Cymbopogon citratus Stapf,Health care,treating malaria,Medicine: Malaria,Ashanti Region,2,"Asase, A., & Asafo-Agyei, T. (2011)",Plants used for treatment of malaria in communities around the Bobiri forest reserve in Ghana,"Journal of herbs, spices & medicinal plants ",17(2) ,85-132,NA,NA,NA,
Cymbopogon citratus,Cymbopogon citratus,"Cymbopogon citratus
(DC.) Stapf",Health care,treating fever,Medicine: Fever,Upper West Region,2,"Asase, A., & Oteng-Yeboah, A. A. (2012)",Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana,Ethnobotany Research and Applications,10,605-618,NA,NA,NA,
Cymbopogon citratus,Cymbopogon citratus,"Cymbopogon citratus
(DC.) Stapf",Health care,used for cleansing after child birth,Medicine: Maternal and Child care,Upper West Region,2,"Asase, A., & Oteng-Yeboah, A. A. (2012)",Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana,Ethnobotany Research and Applications,10,605-618,NA,NA,NA,
Cymbopogon citratus,Cymbopogon citratus,Cymbopogon citratus (DC) Stapf.,Health care,treating malaria,Medicine: Malaria,Ashanti Region,2,"Komlaga, G., Agyare, C., Dickson, R. A., Mensah, M. L. K., Annan, K., Loiseau, P. M., & Champy, P. (2015)","Medicinal plants and finished marketed herbal products used in the treatment of malaria in the Ashanti region, Ghana",Journal of ethnopharmacology ,172,333-346,NA,NA,NA,
Cymbopogon giganteus,Cymbopogon giganteus,Cymbopogon giganteus Chiov.,Health care,treating tuberculosis,Medicine: Infectious diseases,Greater Accra and Eastern Regions,120,"Nguta, J. M., Appiah-Opong, R., Nyarko, A. K., Yeboah-Manu, D., & Addo, P. G. (2015) ",Medicinal plants used to treat TB in Ghana,International journal of mycobacteriology ,4(2) ,116-123,1958,1963,1984,
Cymbopogon schoenanthus,Cymbopogon schoenanthus,,Agriculture,protecting stored products,Post-harvest protectants,"Northern, Upper East and Upper West Regions",59,"Belmain, S., & Stevenson, P. (2001)",Ethnobotanicals in Ghana: reviving and modernising age-old farmer practice,Pesticide outlook ,12(6) ,233-238,1958,1963,1965,
Cyperus articulatus,Cyperus articulatus,Cyperus articulatus L.,Health care,treating tuberculosis,Medicine: Infectious diseases,Greater Accra and Eastern Regions,33,"Nguta, J. M., Appiah-Opong, R., Nyarko, A. K., Yeboah-Manu, D., & Addo, P. G. (2015) ",Medicinal plants used to treat TB in Ghana,International journal of mycobacteriology ,4(2) ,116-123,1968,2009,2010,
Cyperus esculentus,Cyperus esculentus,Cyperus esculentus L.,Health care,treating typhoid fever ,Medicine: Fever,Greater Accra Region,8,"Boadu, A. A., & Asase, A. (2017)",Documentation of herbal medicines used for the treatment and Management of Human Diseases by some communities in southern Ghana,Evidence-Based Complementary and Alternative Medicine ,,2017,2010,2011,2012,
Cyperus rotundus,Cyperus rotundus,Cyperus rotundus L.,Health care,treating stomach and lung cancer,Medicine: Cancer,Ashanti Region,52,"Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana",Journal of ethnopharmacology ,212,137-152,2009,2009,2012,
Daniellia ogea,Daniellia ogea,,Culture,used for rituals,Cultural purposes,"Greater Accra, Ashanti,Northern,Central, Eastern Regions",14,"Van Andel, T., Myren, B., & Van Onselen, S. (2012)",Ghana's herbal market,Journal of Ethnopharmacology,140(2),368-378,NA,NA,NA,Daniela ogea was recorded in this paper but google found it as Daniellia ogea
Daniellia oliveri,Daniellia oliveri,Daniellia oliveri (Rolfe) Hutch. & Dalziel,Culture,seeds are used as necklace for babies that cry often,Cultural purposes,Upper West Region,64,"Asase, A., & Oteng-Yeboah, A. A. (2012)",Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana,Ethnobotany Research and Applications,10,605-618,1956,1994,1995,
Daniellia oliveri,Daniellia oliveri,Daniellia oliveri (Rolfe) Hutch. & Dalziel,Energy,used as fuel wood for cooking,Fuel,Upper West Region,64,"Asase, A., & Oteng-Yeboah, A. A. (2012)",Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana,Ethnobotany Research and Applications,10,605-618,1956,1994,1995,
Daniellia oliveri,Daniellia oliveri,Daniellia oliveri (Rolfe) Hutch. & Dalziel,Social,used for carving artefacts,Artefacts,Upper West Region,64,"Asase, A., & Oteng-Yeboah, A. A. (2012)",Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana,Ethnobotany Research and Applications,10,605-618,1956,1994,1995,
Datura innoxia,Datura innoxia,,Agriculture,used as protectants of stored grains,Post-harvest protectant,Ashanti Region,7,"Cobbinah, J. R., Moss, C., Golob, P., & Belmain, S. R. (1999)",Conducting ethnobotanical surveys: an example from Ghana on plants used for the protection of stored cereals and pulses ,(NRI Bulletin 77),,,NA,NA,NA,
Desmodium adscendens,Desmodium adscendens,Desmodium adscendens (Sw.) DC.,Health care,treating asthma,Medicine: Inflammatory diseases,Brong-Ahafo Region,58,"Addo-Fordjour, P., Belford, E. J. D., & Akonnor, D. (2013)","Diversity and conservation of medicinal plants in the Bomaa community of the Brong Ahafo region, Ghana",Journal of medicinal plants research ,2(9) ,226-233,1953,1970,1995,
Desmodium adscendens,Desmodium adscendens,Desmodium adscendens(Sw.)DC,Health care,"treating prostate, breast, throat and brain cancer",Medicine: Cancer,Ashanti Region,58,"Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana",Journal of ethnopharmacology ,212,137-152,1953,1970,1995,
